grid_size,num_robots,seed,time_taken,total_steps,coverage_pct,completeness,collisions,frozen_robots,overlap_area,robots_completed,avg_cells_per_robot,avg_path_per_robot,total_coverage,num_replans,area_R1,area_R2,area_R3,area_R4,area_R5,area_R6,area_R7,area_R8,area_R9,area_R10,area_R11,area_R12,area_R13,area_R14,area_R15,area_R16,area_R17,area_R18,area_R19,area_R20,area_R21,area_R22,area_R23,area_R24,area_R25,area_R26,area_R27,area_R28,area_R29,area_R30,area_R31,area_R32,area_R33,area_R34,area_R35,area_R36,area_R37,area_R38,area_R39,area_R40
16,5,22,121,121,100,Y,1,0,5,4,48.6,48.6,238,1,46,16,58,91,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,23,225,225,99.16,N,3,0,3,2,48.2,48.2,236,0,112,15,28,13,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,24,123,123,100,Y,2,0,7,3,49,49,238,1,24,26,72,41,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,25,209,209,98.74,N,2,0,5,3,48.6,48.6,235,0,17,58,12,52,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,1,131,131,98.32,N,1,0,3,9,24.1,24.1,234,1,16,43,9,11,15,16,29,16,21,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,2,71,71,100,Y,0,0,16,10,25.4,25.4,238,5,54,18,36,21,40,8,26,18,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,3,83,83,99.58,N,2,0,4,8,24.2,24.2,237,0,20,41,40,12,19,8,11,35,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,4,75,75,97.48,N,0,0,14,10,25.2,25.2,232,2,18,30,12,26,36,17,14,33,29,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,5,115,115,97.48,N,2,0,9,8,24.7,24.7,232,0,12,18,34,22,9,43,26,10,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,6,107,107,99.58,N,1,0,16,9,25.4,25.4,237,3,19,40,9,14,9,11,31,30,38,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,7,93,93,95.8,N,2,0,10,8,24,24,228,1,15,8,36,13,37,46,25,9,16,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,8,87,87,99.16,N,2,0,4,8,24.2,24.2,236,1,28,10,12,43,20,6,19,28,43,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,9,91,91,98.32,N,1,0,3,9,23.9,23.9,234,1,22,13,8,15,17,26,37,24,44,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,10,70,70,100,Y,3,0,19,7,25.7,25.7,238,3,11,4,8,10,46,28,37,57,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,11,99,99,100,Y,1,0,3,9,24.1,24.1,238,1,12,5,16,47,14,30,25,19,51,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,12,53,53,100,Y,1,0,8,9,24.6,24.6,238,1,32,37,10,7,33,34,40,7,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,13,78,78,100,Y,0,0,17,10,25.5,25.5,238,3,31,14,18,34,22,19,10,38,24,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,14,79,79,78.99,N,2,0,5,8,19.7,19.7,188,0,25,13,41,14,11,9,11,23,11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,15,67,67,99.58,N,0,0,3,10,24.1,24.1,237,0,24,26,14,33,27,22,28,28,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,16,82,82,100,Y,1,0,12,9,25,25,238,2,22,21,25,26,35,23,7,10,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,17,95,95,97.9,N,1,0,3,9,24.1,24.1,233,1,9,7,21,30,11,22,32,34,47,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,18,84,84,100,Y,2,0,8,8,24.6,24.6,238,0,69,40,28,6,21,19,12,14,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,19,95,95,99.58,N,1,0,4,9,24.2,24.2,237,0,46,17,11,18,33,12,12,47,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
